REF_DATE,GEO,DGUID,Classification_of_Instructional_Program_(CIP),Population_characteristics,Employment,Role,avg_hours_class_teaching,avg_hours_other_teaching,avg_hours_research,avg_hours_administrative,avg_hours_total
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],Only job,"Permanent, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],Only job,"Permanent, university professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],Only job,"Role, total",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Gender diverse [D],Only job,"University professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",More than one job or business,"College professor, instructor, teacher, or researcher",13.1,10.9,1.8,2.6,41
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",More than one job or business,"Contract, college professor, instructor, teacher, or researcher",11,6.4,1,1,34
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.2,5.6,4.2,2.8,43
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",14.5,14,2.3,3.7,46
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",4.3,7.4,6.6,7.1,48
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",More than one job or business,"Role, total",6.1,7.4,4.6,4.3,45
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",More than one job or business,"University professor, instructor, teacher, or researcher",4.3,6.4,5.3,4.8,46
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",Only job,"College professor, instructor, teacher, or researcher",18.7,13.1,1.8,3.9,37
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",Only job,"Contract, college professor, instructor, teacher, or researcher",17.2,9.7,1.8,5.6,34
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",Only job,"Contract, university professor, instructor, teacher, or researcher",6,12.1,8.9,4.5,32
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",Only job,"Permanent, college professor, instructor, teacher, or researcher",19.3,14.5,1.8,3.2,39
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",Only job,"Permanent, university professor, instructor, teacher, or researcher",8.1,14.1,14.1,8.7,45
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",Only job,"Role, total",11.1,13.4,9.4,6.5,40
2019,Atlantic provinces,2016A00011,BHASE [b],"Gender, total",Only job,"University professor, instructor, teacher, or researcher",7.6,13.6,12.8,7.6,42
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,More than one job or business,"College professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,More than one job or business,"Contract, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,More than one job or business,"Contract, university professor, instructor, teacher, or researcher",3.9,4.4,14.3,2.2,50
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",8.2,7.1,11.7,16.7,48
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,More than one job or business,"Role, total",5.9,5.8,12.7,6.8,48
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,More than one job or business,"University professor, instructor, teacher, or researcher",5.4,5.4,13.4,7.3,50
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,Only job,"College professor, instructor, teacher, or researcher",21,14.9,2.4,2.1,40
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,Only job,"Contract, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,Only job,"Contract, university professor, instructor, teacher, or researcher",3.3,8.9,13.4,5.2,31
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,Only job,"Permanent, college professor, instructor, teacher, or researcher",20,15.9,2.5,2.3,41
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,Only job,"Permanent, university professor, instructor, teacher, or researcher",8.1,16.1,14.4,11.4,50
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,Only job,"Role, total",10.5,13.8,10.6,7.1,42
2019,Atlantic provinces,2016A00011,BHASE [b],Has a self-reported disability,Only job,"University professor, instructor, teacher, or researcher",6.3,13.4,14,9,43
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,More than one job or business,"College professor, instructor, teacher, or researcher",13.1,10.9,1.7,2.7,42
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,More than one job or business,"Contract, college professor, instructor, teacher, or researcher",11.2,6.5,1,1,35
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.3,5.8,2.8,2.9,42
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",14.5,13.8,2.2,3.8,46
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",4,7.5,6,6.4,48
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,More than one job or business,"Role, total",6.2,7.5,3.7,4.1,44
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,More than one job or business,"University professor, instructor, teacher, or researcher",4.2,6.6,4.3,4.5,45
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,Only job,"College professor, instructor, teacher, or researcher",18.5,13,1.8,4,37
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,Only job,"Contract, college professor, instructor, teacher, or researcher",17,9.6,2,5.5,34
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,Only job,"Contract, university professor, instructor, teacher, or researcher",6.5,12.6,8.1,4.4,32
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,Only job,"Permanent, college professor, instructor, teacher, or researcher",19.2,14.4,1.7,3.4,39
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,Only job,"Permanent, university professor, instructor, teacher, or researcher",8.1,13.9,14.1,8.4,44
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,Only job,"Role, total",11.1,13.4,9.3,6.4,40
2019,Atlantic provinces,2016A00011,BHASE [b],Has no self-reported disability,Only job,"University professor, instructor, teacher, or researcher",7.7,13.6,12.7,7.5,41
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],More than one job or business,"College professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],More than one job or business,"Contract, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],More than one job or business,"Contract, university professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],More than one job or business,"Role, total",6.5,12.7,2.3,9.3,48
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],More than one job or business,"University professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],Only job,"College professor, instructor, teacher, or researcher",21,9.9,1.2,3.3,36
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],Only job,"Contract, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],Only job,"Contract, university professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],Only job,"Permanent, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],Only job,"Permanent, university professor, instructor, teacher, or researcher",10,11.3,10.7,18.6,51
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],Only job,"Role, total",15.4,10.2,6,11.1,43
2019,Atlantic provinces,2016A00011,BHASE [b],Indigenous identity [1],Only job,"University professor, instructor, teacher, or researcher",9,10.6,11.1,19.4,50
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",More than one job or business,"College professor, instructor, teacher, or researcher",13.1,10.9,1.8,2.6,41
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",More than one job or business,"Contract, college professor, instructor, teacher, or researcher",11,6.4,1,1,34
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.2,5.6,4.2,2.8,43
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",14.5,14,2.3,3.7,46
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",4.3,7.4,6.6,7.1,48
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",More than one job or business,"Role, total",6.1,7.4,4.6,4.3,45
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",More than one job or business,"University professor, instructor, teacher, or researcher",4.3,6.4,5.3,4.8,46
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",Only job,"College professor, instructor, teacher, or researcher",18.7,13.1,1.8,3.9,37
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",Only job,"Contract, college professor, instructor, teacher, or researcher",17.2,9.7,1.8,5.6,34
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",Only job,"Contract, university professor, instructor, teacher, or researcher",6,12.1,8.9,4.5,32
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",Only job,"Permanent, college professor, instructor, teacher, or researcher",19.3,14.5,1.8,3.2,39
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",Only job,"Permanent, university professor, instructor, teacher, or researcher",8.1,14.1,14.1,8.7,45
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",Only job,"Role, total",11.1,13.4,9.4,6.5,40
2019,Atlantic provinces,2016A00011,BHASE [b],"Indigenous identity, total",Only job,"University professor, instructor, teacher, or researcher",7.6,13.6,12.8,7.6,42
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],More than one job or business,"College professor, instructor, teacher, or researcher",14.9,9.7,2.4,4.1,44
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],More than one job or business,"Contract, college professor, instructor, teacher, or researcher",15.3,5.4,1.4,2,42
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],More than one job or business,"Contract, university professor, instructor, teacher, or researcher",3.8,5.1,2.5,3.6,43
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",14.7,11.4,2.8,4.9,45
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",4.5,7.1,6.1,7.5,48
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],More than one job or business,"Role, total",6.3,6.8,3.8,5.2,45
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],More than one job or business,"University professor, instructor, teacher, or researcher",4.1,6.1,4.2,5.4,45
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],Only job,"College professor, instructor, teacher, or researcher",19.9,10.7,1.8,3.2,36
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],Only job,"Contract, college professor, instructor, teacher, or researcher",21,7.6,0.5,3.7,32
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],Only job,"Contract, university professor, instructor, teacher, or researcher",4.4,9.5,11.2,7.2,32
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],Only job,"Permanent, college professor, instructor, teacher, or researcher",19.8,11.5,2.1,3.1,37
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],Only job,"Permanent, university professor, instructor, teacher, or researcher",8.2,13.8,15.1,7.5,45
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],Only job,"Role, total",11.8,12.2,10.1,6,40
2019,Atlantic provinces,2016A00011,BHASE [b],Male gender [M],Only job,"University professor, instructor, teacher, or researcher",7.5,13,14.5,7.4,42
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],More than one job or business,"College professor, instructor, teacher, or researcher",13.6,10.8,1.9,2.2,41
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],More than one job or business,"Contract, college professor, instructor, teacher, or researcher",11.3,6.5,1,1,33
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.1,5.5,4.2,2.7,43
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",15.2,13.9,2.5,3.1,47
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",4.3,7.4,6.5,7.1,49
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],More than one job or business,"Role, total",6.1,7.3,4.6,4.3,45
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],More than one job or business,"University professor, instructor, teacher, or researcher",4.2,6.4,5.3,4.8,45
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],Only job,"College professor, instructor, teacher, or researcher",18.6,13.2,1.8,3.9,38
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],Only job,"Contract, college professor, instructor, teacher, or researcher",17.2,9.5,2,5.8,35
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],Only job,"Contract, university professor, instructor, teacher, or researcher",6.2,11.6,9.2,4.5,32
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],Only job,"Permanent, college professor, instructor, teacher, or researcher",19.1,14.6,1.8,3.2,39
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],Only job,"Permanent, university professor, instructor, teacher, or researcher",8,14.1,14.1,8.5,45
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],Only job,"Role, total",11,13.4,9.5,6.4,40
2019,Atlantic provinces,2016A00011,BHASE [b],Non-Indigenous identity [2],Only job,"University professor, instructor, teacher, or researcher",7.6,13.5,13,7.5,42
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],More than one job or business,"College professor, instructor, teacher, or researcher",13.2,11.1,1.8,2.7,41
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],More than one job or business,"Contract, college professor, instructor, teacher, or researcher",11.2,6.5,1,1.1,34
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.2,5.7,3.9,2.5,43
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",14.4,14,2.3,3.7,46
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",4.2,7.2,6.2,7.2,48
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],More than one job or business,"Role, total",6.2,7.4,4.3,4.2,44
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],More than one job or business,"University professor, instructor, teacher, or researcher",4.2,6.4,5,4.7,45
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],Only job,"College professor, instructor, teacher, or researcher",18.8,13.3,1.8,3.7,38
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],Only job,"Contract, college professor, instructor, teacher, or researcher",17.1,9.7,1.8,5.6,34
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],Only job,"Contract, university professor, instructor, teacher, or researcher",6.1,12.4,9,3.7,31
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],Only job,"Permanent, college professor, instructor, teacher, or researcher",19.6,14.8,1.7,2.9,39
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],Only job,"Permanent, university professor, instructor, teacher, or researcher",8.1,14.3,13.4,8.9,45
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],Only job,"Role, total",11.4,13.7,8.8,6.3,40
2019,Atlantic provinces,2016A00011,BHASE [b],Not a visible minority [2],Only job,"University professor, instructor, teacher, or researcher",7.6,13.9,12.3,7.7,41
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",More than one job or business,"College professor, instructor, teacher, or researcher",13.1,10.9,1.8,2.6,41
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",More than one job or business,"Contract, college professor, instructor, teacher, or researcher",11,6.4,1,1,34
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.2,5.6,4.2,2.8,43
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",14.5,14,2.3,3.7,46
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",4.3,7.4,6.6,7.1,48
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",More than one job or business,"Role, total",6.1,7.4,4.6,4.3,45
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",More than one job or business,"University professor, instructor, teacher, or researcher",4.3,6.4,5.3,4.8,46
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",Only job,"College professor, instructor, teacher, or researcher",18.7,13.1,1.8,3.9,37
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",Only job,"Contract, college professor, instructor, teacher, or researcher",17.2,9.7,1.8,5.6,34
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",Only job,"Contract, university professor, instructor, teacher, or researcher",6,12.1,8.9,4.5,32
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",Only job,"Permanent, college professor, instructor, teacher, or researcher",19.3,14.5,1.8,3.2,39
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",Only job,"Permanent, university professor, instructor, teacher, or researcher",8.1,14.1,14.1,8.7,45
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",Only job,"Role, total",11.1,13.4,9.4,6.5,40
2019,Atlantic provinces,2016A00011,BHASE [b],"Self-reported disability, total",Only job,"University professor, instructor, teacher, or researcher",7.6,13.6,12.8,7.6,42
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],More than one job or business,"College professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],More than one job or business,"Contract, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.5,4.4,7.9,6.3,41
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",5.8,8.8,9.3,5.7,56
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],More than one job or business,"Role, total",5.5,6.4,8.1,5.6,48
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],More than one job or business,"University professor, instructor, teacher, or researcher",5.2,6.6,8.6,6,49
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],Only job,"College professor, instructor, teacher, or researcher",13.5,8.2,3.1,10.2,35
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],Only job,"Contract, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],Only job,"Contract, university professor, instructor, teacher, or researcher",6.2,5.2,10.6,12.3,34
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],Only job,"Permanent, college professor, instructor, teacher, or researcher",11.7,7.9,3.1,11.3,34
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],Only job,"Permanent, university professor, instructor, teacher, or researcher",8,11.9,20,6.6,47
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],Only job,"Role, total",8.2,9.9,16,8.3,43
2019,Atlantic provinces,2016A00011,BHASE [b],Visible minority [1],Only job,"University professor, instructor, teacher, or researcher",7.5,10.1,17.8,8.1,44
2019,Atlantic provinces,2016A00011,BHASE [b],"Visible minority status, total",More than one job or business,"College professor, instructor, teacher, or researcher",13.1,10.9,1.8,2.6,41
2019,Atlantic provinces,2016A00011,BHASE [b],"Visible minority status, total",More than one job or business,"Contract, college professor, instructor, teacher, or researcher",11,6.4,1,1,34
2019,Atlantic provinces,2016A00011,BHASE [b],"Visible minority status, total",More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.2,5.6,4.2,2.8,43
2019,Atlantic provinces,2016A00011,BHASE [b],"Visible minority status, total",More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",14.5,14,2.3,3.7,46
2019,Atlantic provinces,2016A00011,BHASE [b],"Visible minority status, total",More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",4.3,7.4,6.6,7.1,48
2019,Atlantic provinces,2016A00011,BHASE [b],"Visible minority status, total",More than one job or business,"Role, total",6.1,7.4,4.6,4.3,45
2019,Atlantic provinces,2016A00011,BHASE [b],"Visible minority status, total",More than one job or business,"University professor, instructor, teacher, or researcher",4.3,6.4,5.3,4.8,46
2019,Atlantic provinces,2016A00011,BHASE [b],"Visible minority status, total",Only job,"College professor, instructor, teacher, or researcher",18.7,13.1,1.8,3.9,37
2019,Atlantic provinces,2016A00011,BHASE [b],"Visible minority status, total",Only job,"Contract, college professor, instructor, teacher, or researcher",17.2,9.7,1.8,5.6,34
2019,Atlantic provinces,2016A00011,BHASE [b],"Visible minority status, total",Only job,"Contract, university professor, instructor, teacher, or researcher",6,12.1,8.9,4.5,32
